"start_time","'all-intention'","total_service"
2025-03-19 00:00:00,all-intention,48976
2025-03-20 00:00:00,all-intention,48514
2025-03-21 00:00:00,all-intention,48449
2025-03-18 00:00:00,all-intention,48386
2025-03-23 00:00:00,all-intention,48216
2025-03-22 00:00:00,all-intention,47901
2025-03-17 00:00:00,all-intention,45646
2025-03-16 00:00:00,all-intention,32701
2025-03-15 00:00:00,all-intention,32293
2025-03-14 00:00:00,all-intention,30703
2025-03-13 00:00:00,all-intention,28928
2025-03-12 00:00:00,all-intention,24381
2025-03-08 00:00:00,all-intention,22731
2025-03-07 00:00:00,all-intention,22715
2025-03-10 00:00:00,all-intention,21817
2025-03-09 00:00:00,all-intention,20909
2025-03-11 00:00:00,all-intention,20730
2025-03-06 00:00:00,all-intention,19608
2025-03-05 00:00:00,all-intention,18287
2025-03-04 00:00:00,all-intention,17572
2025-03-03 00:00:00,all-intention,14925
2025-02-04 00:00:00,all-intention,14255
2025-02-03 00:00:00,all-intention,14186
2025-02-05 00:00:00,all-intention,14099
2025-02-10 00:00:00,all-intention,14091
2025-01-27 00:00:00,all-intention,13983
2025-02-07 00:00:00,all-intention,13918
2025-02-11 00:00:00,all-intention,13911
2025-02-08 00:00:00,all-intention,13839
2025-02-28 00:00:00,all-intention,13836
2025-02-17 00:00:00,all-intention,13825
2025-03-01 00:00:00,all-intention,13796
2025-02-24 00:00:00,all-intention,13746
2025-02-09 00:00:00,all-intention,13679
2025-02-22 00:00:00,all-intention,13671
2025-02-15 00:00:00,all-intention,13637
2025-02-27 00:00:00,all-intention,13631
2025-01-28 00:00:00,all-intention,13601
2025-02-06 00:00:00,all-intention,13570
2025-02-02 00:00:00,all-intention,13555
2025-02-18 00:00:00,all-intention,13534
2025-01-25 00:00:00,all-intention,13521
2025-02-12 00:00:00,all-intention,13510
2025-03-02 00:00:00,all-intention,13494
2025-01-29 00:00:00,all-intention,13450
2025-02-23 00:00:00,all-intention,13395
2025-02-01 00:00:00,all-intention,13366
2025-02-16 00:00:00,all-intention,13361
2025-02-25 00:00:00,all-intention,13316
2025-02-21 00:00:00,all-intention,13269
2025-01-24 00:00:00,all-intention,13257
2025-01-30 00:00:00,all-intention,13213
2025-01-26 00:00:00,all-intention,13211
2025-02-19 00:00:00,all-intention,13201
2025-02-13 00:00:00,all-intention,13162
2025-02-26 00:00:00,all-intention,13136
2025-02-14 00:00:00,all-intention,13037
2025-01-31 00:00:00,all-intention,12980
2025-02-20 00:00:00,all-intention,12940