"start_time","Search_DAU_PV","Search_DAU_UV","avg_search_times"
2025-01-24 00:00:00,656 K,377 K,1.74
2025-01-25 00:00:00,666 K,383 K,1.74
2025-01-26 00:00:00,663 K,382 K,1.74
2025-01-27 00:00:00,675 K,386 K,1.75
2025-01-28 00:00:00,665 K,381 K,1.75
2025-01-29 00:00:00,667 K,382 K,1.75
2025-01-30 00:00:00,661 K,379 K,1.74
2025-01-31 00:00:00,650 K,374 K,1.74
2025-02-01 00:00:00,666 K,384 K,1.73
2025-02-02 00:00:00,662 K,383 K,1.73
2025-02-03 00:00:00,680 K,390 K,1.74
2025-02-04 00:00:00,672 K,387 K,1.74
2025-02-05 00:00:00,669 K,385 K,1.74
2025-02-06 00:00:00,662 K,380 K,1.74
2025-02-07 00:00:00,669 K,384 K,1.74
2025-02-08 00:00:00,671 K,386 K,1.74
2025-02-09 00:00:00,671 K,387 K,1.73
2025-02-10 00:00:00,680 K,390 K,1.74
2025-02-11 00:00:00,671 K,386 K,1.74
2025-02-12 00:00:00,658 K,378 K,1.74
2025-02-13 00:00:00,655 K,377 K,1.74
2025-02-14 00:00:00,654 K,376 K,1.74
2025-02-15 00:00:00,666 K,384 K,1.74
2025-02-16 00:00:00,673 K,388 K,1.73
2025-02-17 00:00:00,682 K,390 K,1.75
2025-02-18 00:00:00,673 K,386 K,1.74
2025-02-19 00:00:00,667 K,382 K,1.75
2025-02-20 00:00:00,669 K,383 K,1.74
2025-02-21 00:00:00,669 K,386 K,1.73
2025-02-22 00:00:00,679 K,391 K,1.74
2025-02-23 00:00:00,672 K,387 K,1.74
2025-02-24 00:00:00,683 K,391 K,1.75
2025-02-25 00:00:00,668 K,384 K,1.74
2025-02-26 00:00:00,653 K,377 K,1.73
2025-02-27 00:00:00,661 K,381 K,1.73
2025-02-28 00:00:00,688 K,399 K,1.72
2025-03-01 00:00:00,644 K,376 K,1.71
2025-03-02 00:00:00,613 K,358 K,1.71
2025-03-03 00:00:00,617 K,358 K,1.72
2025-03-04 00:00:00,604 K,351 K,1.72
2025-03-05 00:00:00,617 K,358 K,1.73
2025-03-06 00:00:00,624 K,359 K,1.74
2025-03-07 00:00:00,630 K,360 K,1.75
2025-03-08 00:00:00,648 K,368 K,1.76
2025-03-09 00:00:00,634 K,359 K,1.76
2025-03-10 00:00:00,658 K,371 K,1.78
2025-03-11 00:00:00,651 K,367 K,1.77
2025-03-12 00:00:00,653 K,367 K,1.78
2025-03-13 00:00:00,654 K,369 K,1.77
2025-03-14 00:00:00,656 K,370 K,1.77
2025-03-15 00:00:00,669 K,376 K,1.78
2025-03-16 00:00:00,664 K,375 K,1.77
2025-03-17 00:00:00,674 K,377 K,1.79
2025-03-18 00:00:00,668 K,375 K,1.78
2025-03-19 00:00:00,668 K,374 K,1.79
2025-03-20 00:00:00,667 K,375 K,1.78
2025-03-21 00:00:00,662 K,372 K,1.78
2025-03-22 00:00:00,654 K,369 K,1.78
2025-03-23 00:00:00,656 K,370 K,1.77